.14:59:23.504 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [zw.co.cassavasmartech.ecocashchatbotcore.EcocashChatbotCoreApplicationTests], using SpringBootContextLoader 
.14:59:23.530 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [zw.co.cassavasmartech.ecocashchatbotcore.EcocashChatbotCoreApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
.14:59:23.534 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [zw.co.cassavasmartech.ecocashchatbotcore.EcocashChatbotCoreApplicationTests]: EcocashChatbotCoreApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
.14:59:24.071 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration zw.co.cassavasmartech.ecocashchatbotcore.EcocashChatbotCoreApplication for test class zw.co.cassavasmartech.ecocashchatbotcore.EcocashChatbotCoreApplicationTests 
.14:59:24.528 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener] 
.14:59:24.616 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14f232c4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13bc8645, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@24c22fe, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@93081b6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@cd1e646, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7ba8c737, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1890516e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15a04efb, org.springframework.test.context.event.EventPublishingTestExecutionListener@16c069df, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@2bec854f, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@31edaa7d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@26adfd2d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3336e6b6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7c3fdb62, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@205d38da, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6950ed69, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6dd7b5a3] 
.14:59:26.057 INFO  z.c.c.e.EcocashChatbotCoreApplicationTests - Starting EcocashChatbotCoreApplicationTests using Java 1.8.0_271 on LAPTOP-1JQH6S1S with PID 14004 (started by Kudzai Macheyo in C:\Users\Kudzai Macheyo\IdeaProjects\ecocash-chatbot-core) 
.14:59:26.059 INFO  z.c.c.e.EcocashChatbotCoreApplicationTests - The following profiles are active: dev 
.14:59:26.106 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final 
.14:59:30.766 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
.14:59:30.772 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode. 
.14:59:31.791 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 960 ms. Found 9 JPA repository interfaces. 
.14:59:34.214 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@2412a42b' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.14:59:34.292 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.14:59:35.784 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final 
.14:59:36.479 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
.14:59:38.059 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
.14:59:39.923 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
.14:59:40.079 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect 
.14:59:40.361 INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true 
.15:00:04.112 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
.15:00:04.146 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
.15:00:04.789 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
.15:00:05.712 INFO  o.s.s.l.DefaultSpringSecurityContextSource -  URL 'ldap://192.168.101.47:389', root DN is '' 
